id,frag1,frag2,new_smiles
202,*CCOCCOCC,*[C@H]1O[C@H](COC(=O)Nc2cccc3ccccc23)[C@H](O)[C@H](O)[C@H]1O,CCOCCOCC[C@H]1O[C@H](COC(=O)Nc2cccc3ccccc23)[C@H](O)[C@H](O)[C@H]1O
203,*O,*CCC=CCCCCC,CCCCCC=CCCO
204,*[C@H]1CCc2cc(-c3ccccc3-c3nnn[nH]3)ccc21,*NCc1ccc(O)c(OC)c1,COc1cc(CN[C@H]2CCc3cc(-c4ccccc4-c4nnn[nH]4)ccc32)ccc1O
205,*CCCN1CCC[C@@H](C(=O)[O-])C1,*c1ccccc1C(=O)O,O=C(O)c1ccccc1CCCN1CCC[C@@H](C(=O)[O-])C1
206,*C[C@@H](C)C=CCCCCC,*C(=O)[C@H](CO)NC(=O)Cc1ccc(CCCCn2ccnc2C)cc1,CCCCCC=C[C@H](C)CC(=O)[C@H](CO)NC(=O)Cc1ccc(CCCCn2ccnc2C)cc1
207,*CCCN1CCC[C@@H](C(=O)[O-])C1,*C[C@@H](O)CO,O=C([O-])[C@@H]1CCCN(CCCC[C@@H](O)CO)C1
208,*Cc1ccccc1,*OC[C@@H](O)COP(=O)(O)O,O=P(O)(O)OC[C@H](O)COCc1ccccc1
209,*CC=CC#CC(C)(C)C,*CCOCCOCCOCCOCCOCCO,CC(C)(C)C#CC=CCCCOCCOCCOCCOCCOCCO
210,*CCCCCC,*c1nnn[nH]1,CCCCCCc1nnn[nH]1
211,*n1c(CC)nc2ccn(Cc3ccccc3)c(=O)c21,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,CCc1nc2ccn(Cc3ccccc3)c(=O)c2n1-c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1
212,*c1noc(-c2ccc(CC(C)C)cc2)n1,*C[C@@H](O)CCCCC,CCCCC[C@H](O)Cc1noc(-c2ccc(CC(C)C)cc2)n1
213,*CC(F)(F)C=C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]1O,*c1ccc(CC(C)C)cc1,CC(C)Cc1ccc(CC(F)(F)C=C[C@@H]2[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]2O)cc1
214,*CCOCCOCC,*n1c(CCC)nc2c(C)cccc21,CCCc1nc2c(C)cccc2n1CCOCCOCC
215,*CCC=CCCC(=O)O,*CCCCC(=O)O,O=C(O)CCC=CCCCCCCC(=O)O
216,*C(=O)[C@H](CC(C)C)NC(=O)c1cc2ccccc2s1,*c1ccccc1-c1noc(=O)[nH]1,CC(C)C[C@H](NC(=O)c1cc2ccccc2s1)C(=O)c1ccccc1-c1noc(=O)[nH]1
217,*CCOCCOCCOCCOCCOCCOCC,*C(=O)CCCCCCCCCCC,CCCCCCCCCCCC(=O)CCOCCOCCOCCOCCOCCOCC
218,*CCCN1CCC[C@@H](C(=O)[O-])C1,*n1c(CCCC)nc(C)c(Cc2nc(C(C)(C)C)no2)c1=O,CCCCc1nc(C)c(Cc2nc(C(C)(C)C)no2)c(=O)n1CCCN1CCC[C@@H](C(=O)[O-])C1
219,*S(=O)(=O)c1ccc(Cl)cc1Cl,*C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H]2C[C@H]1OO2,O=C([O-])CCCC=CC[C@@H]1[C@@H](CS(=O)(=O)c2ccc(Cl)cc2Cl)[C@H]2C[C@@H]1OO2
220,*Nc1cccc2ccccc12,*c1ccc(C(=O)N[C@H](C(=O)NC)C2CCCCC2)o1,CNC(=O)[C@@H](NC(=O)c1ccc(Nc2cccc3ccccc23)o1)C1CCCCC1
221,*CCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,*C(=O)CCCCCC,CCCCCCC(=O)CCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O
222,*CCCCC(=O)OC[C@@H](O)CO,*N1CCCc2c(OC(C)(C)C(=O)O)cccc21,CC(C)(Oc1cccc2c1CCCN2CCCCC(=O)OC[C@@H](O)CO)C(=O)O
223,*c1ccc(CC(C)C)cc1,*[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,CC(C)Cc1ccc([C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1
