id,frag1,frag2,new_smiles
3488,*N1CCc2ccccc2C1,*c1cccnc1,c1cncc(N2CCc3ccccc3C2)c1
3489,*NC1CCN(Cc2c[nH]c3ccccc23)CC1,*C(=O)c1ccc2c(c1)C[C@H](Nc1cncnc1)C2,O=C(NC1CCN(Cc2c[nH]c3ccccc23)CC1)c1ccc2c(c1)C[C@H](Nc1cncnc1)C2
3490,*n1c(N2CC3(CNC3)C2)nc2c(-c3c(C)n[nH]c3C)cc(Cl)cc21,*Cc1c[nH]c2ccccc12,Cc1n[nH]c(C)c1-c1cc(Cl)cc2c1nc(N1CC3(CNC3)C1)n2Cc1c[nH]c2ccccc12
3491,*c1nc2cc(C)ccc2o1,*Nc1ccc(C)cc1,Cc1ccc(Nc2nc3cc(C)ccc3o2)cc1
3492,*[C@H]1CCOC1,*C(=O)c1cc(NC(=O)C=Cc2ccccc2)ccc1C,Cc1ccc(NC(=O)C=Cc2ccccc2)cc1C(=O)[C@H]1CCOC1
3493,*Cc1ccco1,*c1cc(C#N)ncn1,N#Cc1cc(Cc2ccco2)ncn1
3494,*n1ncc2c(=O)[nH]c(Cc3ccccc3)nc21,*[C@H](C)c1cccc(C#N)c1C,Cc1c(C#N)cccc1[C@@H](C)n1ncc2c(=O)[nH]c(Cc3ccccc3)nc21
3495,*c1nc(NCc2ccco2)c2ccccc2n1,*c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,O=c1[nH]c(-c2nc(NCc3ccco3)c3ccccc3n2)nc2c1cnn2C1CCCC1
3496,*c1ccccc1CNC,*n1ncc2c(=O)[nH]c([C@@H](C)N3CC(Oc4ccccc4)C3)nc21,CNCc1ccccc1-n1ncc2c(=O)[nH]c([C@@H](C)N3CC(Oc4ccccc4)C3)nc21
3497,*c1cccc(C(=O)NC[C@@H]2CCCC[C@H]2CCOc2cccnc2)c1,*C(=O)CO,O=C(CO)c1cccc(C(=O)NC[C@@H]2CCCC[C@H]2CCOc2cccnc2)c1
3498,*OCC,*c1nnc(C)c2ccc(N3CCNCC3)cc12,CCOc1nnc(C)c2ccc(N3CCNCC3)cc12
3499,*S(=O)(=O)c1ccc(OC)cc1,*CC=C1C[C@@H](O)CCC1=C,C=C1CC[C@H](O)CC1=CCS(=O)(=O)c1ccc(OC)cc1
3500,*[C@H]1CCOC1,*NCc1cc(C[C@H](CC)C(=O)[O-])ccc1OCCCC,CCCCOc1ccc(C[C@H](CC)C(=O)[O-])cc1CN[C@H]1CCOC1
3501,*Cc1cccc(O[C@H](CC)C(=O)[O-])c1,*C(=O)C=C[C@@H](C)C[C@@H](C)CC,CC[C@H](C)C[C@H](C)C=CC(=O)Cc1cccc(O[C@H](CC)C(=O)[O-])c1
3502,*Nc1ccc(C)c(C(=O)Nc2cnc3[nH]c(-c4ccccc4)nc3c2)c1,*N=O,Cc1ccc(NN=O)cc1C(=O)Nc1cnc2[nH]c(-c3ccccc3)nc2c1
3503,*c1cccnc1,*CCCCCCCCC,CCCCCCCCCc1cccnc1
3504,*c1ccc2ncccc2c1,*C(=O)[C@H](C)NC(=O)O,C[C@H](NC(=O)O)C(=O)c1ccc2ncccc2c1
3505,*c1nccs1,*CCNC(=O)C(C#N)=Cc1ccc2c[nH]nc2c1,N#CC(=Cc1ccc2c[nH]nc2c1)C(=O)NCCc1nccs1
3506,*c1cccnc1,*C1CCOCC1,c1cncc(C2CCOCC2)c1
3507,*C(=O)C1CCN(c2cc(C#N)ncn2)CC1,*c1nc(C)nc2cc(OC)c(OC)cc12,COc1cc2nc(C)nc(C(=O)C3CCN(c4cc(C#N)ncn4)CC3)c2cc1OC
3508,*Nc1cnn(Cc2cccc(C#N)c2)c1,*Nc1cnc2[nH]c(-c3ccccc3)nc2c1,N#Cc1cccc(Cn2cc(NNc3cnc4[nH]c(-c5ccccc5)nc4c3)cn2)c1
