id,frag1,frag2,new_smiles
2478,*S(=O)(=O)c1ccc(F)cc1C,*c1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1,Cc1cc(F)ccc1S(=O)(=O)c1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1
2479,*C1CC(F)(F)C1,*NO,ONC1CC(F)(F)C1
2480,*c1cc(-c2cccc(O)c2)cnc1N,*C(=O)c1ccc(-c2ccccc2)cc1,Nc1ncc(-c2cccc(O)c2)cc1C(=O)c1ccc(-c2ccccc2)cc1
2481,*c1ncnc2sc(CCF)cc12,*C1CN([C@H](C)c2nc3c(cnn3C3CCCC3)c(=O)[nH]2)C1,C[C@H](c1nc2c(cnn2C2CCCC2)c(=O)[nH]1)N1CC(c2ncnc3sc(CCF)cc23)C1
2482,*[C@H](C)C(=O)N1CC[C@H](F)C1,*N1CCN(c2ncnc3sc(CC(F)F)cc23)CC1,C[C@H](C(=O)N1CC[C@H](F)C1)N1CCN(c2ncnc3sc(CC(F)F)cc23)CC1
2483,*C(=O)C1CC1,*n1c2cc(OC)ccc2c2ccnc(C)c21,COc1ccc2c3ccnc(C)c3n(C(=O)C3CC3)c2c1
2484,*n1ncc2c(=O)[nH]c(N[C@H](C)C(=O)N3CC4(CC(F)C4)C3)nc21,*S(=O)(=O)c1ccc(F)cc1C,Cc1cc(F)ccc1S(=O)(=O)n1ncc2c(=O)[nH]c(N[C@H](C)C(=O)N3CC4(CC(F)C4)C3)nc21
2485,*n1ncc2c(=O)[nH]c(Cc3ccccc3)nc21,*CCCCCCCCC,CCCCCCCCCn1ncc2c(=O)[nH]c(Cc3ccccc3)nc21
2486,*CO,*n1c(C)nc2c(F)cc(-c3nc(Nc4ccc(CN5CCN(CC)CC5)cn4)ncc3F)cc21,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(CO)c5c4)n3)nc2)CC1
2487,*n1cnc2c(NCCN)ncnc21,*C(=O)[C@@H](CC(C)C)NC(=O)Nc1c(CC)cccc1CC,CCc1cccc(CC)c1NC(=O)N[C@H](CC(C)C)C(=O)n1cnc2c(NCCN)ncnc21
2488,*C(=O)c1ccc(-c2cc(-c3nnc(C)o3)ccc2C)cc1,*CCO,Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)CCO)cc3)c2)o1
2489,*N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C,*c1c(C)nn(C)c1C,Cc1nn(C)c(C)c1N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C
2490,*CC[C@@H](C)O,*c1ncnc2c1c(-c1cnn(C)c1-c1ccc(CC)cc1)nn2C,CCc1ccc(-c2c(-c3nn(C)c4ncnc(CC[C@@H](C)O)c34)cnn2C)cc1
2491,*C(=O)c1cccc(OC(F)(F)F)c1,*c1ccccc1C,Cc1ccccc1C(=O)c1cccc(OC(F)(F)F)c1
2492,*c1ccc(N2CCOCC2)cc1,*N1CCC(NC(=O)CN)CC1,NCC(=O)NC1CCN(c2ccc(N3CCOCC3)cc2)CC1
2493,*C(=O)C=Cc1ccccc1,*n1ncc2c(=O)[nH]c(N[C@@H](C)c3ccc(Cl)cc3)nc21,C[C@H](Nc1nc2c(cnn2C(=O)C=Cc2ccccc2)c(=O)[nH]1)c1ccc(Cl)cc1
2494,*c1cnc(N)c(-c2cc(OC)c(OC)c(OC)c2)c1,*C(CO)(CO)CO,COc1cc(-c2cc(C(CO)(CO)CO)cnc2N)cc(OC)c1OC
2495,*C1CCCCC1,*C(=O)c1cccc(OC(F)(F)F)c1,O=C(c1cccc(OC(F)(F)F)c1)C1CCCCC1
2496,*N[C@H]1CCCN(S(C)(=O)=O)C1,*Cc1c[nH]c2ccccc12,CS(=O)(=O)N1CCC[C@H](NCc2c[nH]c3ccccc23)C1
2497,*n1c(=O)[nH]c2ncccc21,*c1cnc(N)nc1,Nc1ncc(-n2c(=O)[nH]c3ncccc32)cn1
2498,*c1ccc2c(c1)c(NC(C)(C)c1ncccn1)cc(=O)n2C,*c1cccc(O)c1,Cn1c(=O)cc(NC(C)(C)c2ncccn2)c2cc(-c3cccc(O)c3)ccc21
2499,*c1c[nH]c2ncnc(N3CCOCC3)c12,*C(=O)c1ccc2cc3c(nc2c1)CCCC3,O=C(c1ccc2cc3c(nc2c1)CCCC3)c1c[nH]c2ncnc(N3CCOCC3)c12
2500,*c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,*N[C@@H](c1ccc(OC(F)(F)F)cc1)C(C)(C)O,CC(C)(O)[C@@H](Nc1nc2c(cnn2C2CCCC2)c(=O)[nH]1)c1ccc(OC(F)(F)F)cc1
2501,*C(C)=O,*c1nnc(C)o1,CC(=O)c1nnc(C)o1
