id,frag1,frag2,new_smiles
150,*C(=O)c1cc(-c2ccccn2)cc(C(F)(F)F)c1,*OC,COC(=O)c1cc(-c2ccccn2)cc(C(F)(F)F)c1
151,*CCOCCOCCOCCOC,*n1cccn1,COCCOCCOCCOCCn1cccn1
152,*CCS,*[C@@H]1CC(O)=C(CO[P@@H](=O)[O-])O1,O=[P@@H]([O-])OCC1=C(O)C[C@@H](CCS)O1
153,*CCNc1c(NCCCCCCO)c(=O)c1=O,*CCOCCOCCOCCOCC,CCOCCOCCOCCOCCCCNc1c(NCCCCCCO)c(=O)c1=O
154,*CCOCCOCCOCCO,*CCS,OCCOCCOCCOCCCCS
155,*c1c(NCCOCCO)c(=O)c1=O,*CCOCCOCCOCCOCCOCC,CCOCCOCCOCCOCCOCCc1c(NCCOCCO)c(=O)c1=O
156,*Nc1cccc(-c2nnn[nH]2)c1,*C(=O)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1
157,*CCOCCOCCOCCOC,*N1CCCCCC1,COCCOCCOCCOCCN1CCCCCC1
158,*C(=O)[C@@H](N)C[C@@H](N)Cc1ccccc1,*c1ccc(N(C)C)cc1,CN(C)c1ccc(C(=O)[C@@H](N)C[C@@H](N)Cc2ccccc2)cc1
159,*C(=O)c1ccccc1[SeH],*c1ccccc1C(=O)O,O=C(O)c1ccccc1C(=O)c1ccccc1[SeH]
160,*CCOCC,*c1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1,CCOCCc1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1
161,*c1nnn[nH]1,*CCOCCOCCOCCOCCOCCOCCO,OCCOCCOCCOCCOCCOCCOCCc1nnn[nH]1
162,*CCOCCOCCOCCOCCOCCOCCOCC,*Cc1cnccn1,CCOCCOCCOCCOCCOCCOCCOCCCc1cnccn1
163,*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,*N1CCO[C@H](C)C1,C[C@@H]1CN([C@H]2C[C@H](O)[C@@H](CO[P@H](=O)[O-])O2)CCO1
164,*C(=O)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1,*OC,COC(=O)c1cc(-c2nnn[nH]2)cc(C(F)(F)F)c1
165,*n1cccn1,*CCOCCOCCOCC,CCOCCOCCOCCn1cccn1
166,*CCOCCOCCOCCO,*NC,CNCCOCCOCCOCCO
167,*n1c2c([n+](CCOC)c1C)C(=O)c1ccccc1C2=O,*C(=O)c1ccccc1Nc1cccc(C)c1C,COCC[n+]1c2c(n(C(=O)c3ccccc3Nc3cccc(C)c3C)c1C)C(=O)c1ccccc1C2=O
168,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,*C(=O)c1ccccc1[SeH],Cc1cc(C)nc(C(N)=Nc2nc(C(=O)c3ccccc3[SeH])cc3ccccc23)n1
