id,frag1,frag2,new_smiles
71,*[C@@H](Cn1ccnc1)c1ccc(Cl)cc1Cl,*[C@@H]1CCCN(C(=O)CC)C1,CCC(=O)N1CCC[C@@H]([C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)C1
72,*C(=O)CCCOc1cccc(S(C)(=O)=O)c1,*C(=O)Nc1cccc2ccccc12,CS(=O)(=O)c1cccc(OCCCC(=O)C(=O)Nc2cccc3ccccc23)c1
73,*C(=O)c1ccccc1N,*Cc1ccccc1F,Nc1ccccc1C(=O)Cc1ccccc1F
74,*NCc1cccc(OC)c1,*c1ccc(CSc2nc3c(c(=O)[nH]2)CCC3)cc1,COc1cccc(CNc2ccc(CSc3nc4c(c(=O)[nH]3)CCC4)cc2)c1
75,*c1ccccc1Cl,*C(O)[C@@](C)(O)COc1ccc([N+](=O)[O-])cc1,C[C@](O)(COc1ccc([N+](=O)[O-])cc1)C(O)c1ccccc1Cl
76,*c1ccc(C(=O)N[C@H](C(=O)[O-])C(C)C)cc1,*C1NC(=O)C(C)=C1C=C,C=CC1=C(C)C(=O)NC1c1ccc(C(=O)N[C@H](C(=O)[O-])C(C)C)cc1
77,*N(Cc1ccc(N2CCN(C(C)=O)CC2)cc1F)C1CCC1,*c1ccc(Cl)c(F)c1,CC(=O)N1CCN(c2ccc(CN(c3ccc(Cl)c(F)c3)C3CCC3)c(F)c2)CC1
78,*CCCCNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,*C(C)=O,COc1ccc2c(c1)c(CC(=O)NCCCCC(C)=O)c(C)n2C(=O)c1ccc(Cl)cc1
79,*[C@H]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,*C(=O)[C@H]1C[C@](O)(C(F)(F)F)C1,O=C([C@H]1C[C@](O)(C(F)(F)F)C1)[C@H]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
80,*Cc1cccc(OC[Si](C)(C)c2ccccc2C)c1,*C(=C)C(=O)O,C=C(Cc1cccc(OC[Si](C)(C)c2ccccc2C)c1)C(=O)O
81,*N(CC(C)C)[C@H]1CCCNC1,*C(=O)[C@@H](C)c1ccc(CC(C)C)cc1,CC(C)Cc1ccc([C@H](C)C(=O)N(CC(C)C)[C@H]2CCCNC2)cc1
82,*CCCCCCC(=O)NCc1ccc(O)c(OC)c1,*c1ccc(C2(C(=O)O)CC2)cc1,COc1cc(CNC(=O)CCCCCCc2ccc(C3(C(=O)O)CC3)cc2)ccc1O
83,*N[C@H](CC)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccccc34)C[C@@H]21,*N1CCN(C(=O)Nc2ccccc2)CC1,CC[C@@H](NN1CCN(C(=O)Nc2ccccc2)CC1)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccccc34)C[C@@H]21
84,*c1c2ccoc2cc2oc(=O)ccc12,*N1CCN(C(C)(C)C)CC1,CC(C)(C)N1CCN(c2c3ccoc3cc3oc(=O)ccc23)CC1
85,*CCN1c2ccccc2Oc2ccccc21,*C(=O)c1ccc(C#N)cn1,N#Cc1ccc(C(=O)CCN2c3ccccc3Oc3ccccc32)nc1
86,*c1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)OC)cc1,*C(=O)C(C)(C)O,COC(=O)[C@H](Cc1ccc(C(=O)C(C)(C)O)cc1)Nc1ccccc1C(=O)c1ccccc1
87,*CC#CCC,*S(=O)(=O)c1ccc(C)cc1,CCC#CCS(=O)(=O)c1ccc(C)cc1
88,*C(=O)CCc1ccc(Cl)cc1,*C(=O)[C@@](C)(O)COc1ccc(F)cc1,C[C@](O)(COc1ccc(F)cc1)C(=O)C(=O)CCc1ccc(Cl)cc1
89,*C[C@](C)(O)C(=O)Nc1ccc(C#N)c(I)c1,*n1ccnc1C,Cc1nccn1C[C@](C)(O)C(=O)Nc1ccc(C#N)c(I)c1
90,*C(=O)CCCC,*C(=O)c1cccc(OCCC2CCCCC2)c1,CCCCC(=O)C(=O)c1cccc(OCCC2CCCCC2)c1
91,*n1c(CCCC)nc(C)c(Cc2nc(C(C)(C)C)no2)c1=O,*CCOCC,CCCCc1nc(C)c(Cc2nc(C(C)(C)C)no2)c(=O)n1CCOCC
92,*Cc1c(F)cccc1C#N,*c1ccc(Cc2ccccc2)cc1,N#Cc1cccc(F)c1Cc1ccc(Cc2ccccc2)cc1
93,*CCN(C)c1cc(=O)oc2cc(N(CC)CC)ccc12,*c1cccs1,CCN(CC)c1ccc2c(N(C)CCc3cccs3)cc(=O)oc2c1
94,*c1nc(-c2ccccc2C(C)C)nc2ccn(C)c12,*S(=O)(=O)c1ccccc1F,CC(C)c1ccccc1-c1nc(S(=O)(=O)c2ccccc2F)c2c(ccn2C)n1
95,*C(C)CCC=C(C)C,*c1ccsc1,CC(C)=CCCC(C)c1ccsc1
96,*C(=O)C[C@H](O)Cc1ccc(Cl)cc1,*CCOCCO,O=C(CCOCCO)C[C@H](O)Cc1ccc(Cl)cc1
97,*N1CCc2cc(C(=O)NCc3ccccc3)n(Cc3ccccc3)c2C1,*NCCC(=O)NCCS,O=C(CCNN1CCc2cc(C(=O)NCc3ccccc3)n(Cc3ccccc3)c2C1)NCCS
98,*CCC=CCCC(=O)CC=CCC,*CCSC#N,CCC=CCC(=O)CCC=CCCCCSC#N
99,*Nc1ccccc1CC(=O)O,*c1ccc2c(c1)C(C)(C)C(=O)N2,CC1(C)C(=O)Nc2ccc(Nc3ccccc3CC(=O)O)cc21
100,*N(CC)[C@H]1CCCNC1,*Cc1ccccc1OC(F)F,CCN(Cc1ccccc1OC(F)F)[C@H]1CCCNC1
101,*N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],*Oc1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1,C[C@H](C(=O)[O-])c1ccc(-c2cccc(ON[C@@H](Cc3c[nH]c4ccccc34)C(=O)[O-])c2)c(F)c1
102,*N[C@H](C(=O)NC)C1CCCCC1,*NCCSC(=O)CCCCCCCC,CCCCCCCCC(=O)SCCNN[C@H](C(=O)NC)C1CCCCC1
103,*c1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)OC)cc1,*CCOCCOCC,CCOCCOCCc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)OC)cc1
104,*c1ccc(-n2cnn([C@@H](CC)[C@H](C)O)c2=O)cc1,*CCCC(=O)[O-],CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(CCCC(=O)[O-])cc2)c1=O
